Glasses	Brille
Midi-Pyrénées	Midi-Pyrénées
Turopolje	Turopolje
1418	1418
Limbaži	Limbaži
Sega	Sega
Caserta	Caserta
Praziquantel	Praziquantel
Atrebates	Atrebaten
Ecker	Ecker
Lasithi	Lasithi
Neck	Hals
Cochem	Cochem
Label	Aufkleber
Herbivore	Pflanzenfresser
Brassica	Kohl
Autism	Autismus
Self-service	Selbstbedienung
Rethra	Rethra
Ludwigslust	Ludwigslust
1447	1447
Naarden	Naarden
NP-hardness	NP-Schwere
Salona	Salona
Octahedrite	Oktaedrite
Livestock	Vieh
Mail	Post
Cryovolcano	Kryovulkan
1437	1437
Camouflage	Tarnung
Undead	Untoter
Renkum	Renkum
Amager	Amager
Béjaïa	Bejaia
Nyeri	Nyeri
GameSpy	GameSpy
Varkaus	Varkaus
Compiz	Compiz
Clomifene	Clomifen
Teignmouth	Teignmouth
Mange	Räude
Chimalpopoca	Chimalpopoca
Organogenesis	Organogenese
Doberlug-Kirchhain	Doberlug-Kirchhain
Neuhardenberg	Neuhardenberg
Airbus	Airbus
Circle	Kreis
Magnetism	Magnetismus
Kumasi	Kumasi
Myrmecochory	Myrmekochorie
Bromus	Trespen
Kotka	Kotka
Chape	Ortband
Anabaptism	Täufer
Histone	Histon
Residenz	Residenzstadt
Norwich	Norwich
Renormalization	Renormierung
Alsace	Elsass
Qinghai	Qinghai
Electrophysiology	Elektrophysiologie
Gunship	Gunship
1668	1668
Uznach	Uznach
Cithaeron	Kithairon
Beak	Schnabel
Reichsforschungsrat	Reichsforschungsrat
Hildebrand	Hildebrand
Lance	Lanze
Houseboat	Wohnboot
Nagarjuna	Nagarjuna
Cyclooxygenase	Cyclooxygenasen
Synagogue	Synagoge
Eggplant	Aubergine
Cormega	Cormega
Teleportation	Teleportation
Aesti	Ästier
Tolyatti	Toljatti
Blink-182	Blink-182
Korea	Korea
Rakugo	Rakugo
Diode	Diode
Leominster	Leominster
Maubeuge	Maubeuge
Hydria	Hydria
MIDI keyboard	Masterkeyboard
Fujiwara-kyō	Fujiwara-kyō
Gastronomy	Gastronomie
CD-ROM	CD-ROM
Stoichiometry	Stöchiometrie
Axayacatl	Axayacatl
